Scenario,Experiment,Independent_run,Solution,Initial_UOI,Final_UOI,UOI_std,Gap(%),LB,LB_std,UB,UB_std,SAOFI,SAODI,CAODI,CBLSAOFI,CBLSAODI,CBLODI,ASOFI,ASODI,Actions,CPU_Time(ms)
2,1,4,0,0.021962342878430744,0.005138714377217538,1.0937508402252219E-4,0.7616568713954525,0.005099575006062075,30.0,0.005177853748373002,8.239920020418829,0.22739726027397258,3.520547945205479,15.481927710843372,0.12473118279569886,1.9354838709677429,15.51724137931036,0.27946153444988314,4.303220903741055,2.0,234540.0
2,1,4,1,0.021962342878430744,0.005433276687164783,1.0498067024731465E-4,0.6914216327402647,0.005395709836783093,30.0,0.005470843537546474,7.750433823535381,0.2529680365296803,3.931506849315069,15.54151624548737,0.13870967741935478,2.1612903225806464,15.581395348837225,0.3132675523114289,4.837231020555978,1.0,234540.0
2,1,4,2,0.021962342878430744,0.005269670687808219,9.869078019710663E-5,0.6701755048142971,0.005234354645674149,30.0,0.005304986729942289,7.6040099618875265,0.24398782343987813,3.7146118721461194,15.224578914535256,0.13440860215053757,2.0483870967741944,15.240000000000013,0.3033000499165063,4.606336960527275,1.0,234540.0
2,1,4,3,0.021962342878430744,0.00568141969397209,7.042103775680976E-5,0.443548374882264,0.005656219849249236,30.0,0.005706619538694944,11.845362879017264,0.2835616438356164,4.253424657534245,14.999999999999996,0.15483870967741928,2.322580645161291,15.00000000000001,0.36174105313771926,5.426115797065788,3.0,234540.0
2,1,4,4,0.021962342878430744,0.005808058593392221,8.124192605022217E-5,0.5005467730901606,0.005778986543523811,30.0,0.005837130643260632,12.686888245976915,0.2908675799086758,4.424657534246575,15.21193092621664,0.15913978494623648,2.419354838709679,15.20270270270272,0.36956046881900295,5.628468853207565,3.0,234540.0
2,1,5,0,0.022466455823414503,0.005411660577038765,1.3124609469483746E-4,0.8678632213157556,0.005364694765228202,30.0,0.005458626388849329,6.540713843081107,0.25205479452054785,3.9178082191780828,15.543478260869573,0.13870967741935478,2.1612903225806464,15.581395348837225,0.30531848612772755,4.714397040333077,2.0,233817.0
2,1,5,1,0.022466455823414503,0.00616632898542634,9.672701292687318E-5,0.5613277709190065,0.006131715668384914,30.0,0.006200942302467766,7.9170778355678255,0.32237442922374426,4.945205479452054,15.339943342776202,0.17634408602150528,2.70967741935484,15.3658536585366,0.40647027179446316,6.204372370393426,3.0,233817.0
2,1,5,2,0.022466455823414503,0.00508865240454514,7.444679795670718E-5,0.5235265133289795,0.005062011960036194,30.0,0.005115292849054087,15.191195602034922,0.22800608828006091,3.4474885844748853,15.120160213618153,0.1258064516129032,1.9032258064516137,15.128205128205138,0.2807222432230735,4.239331359273703,1.0,233817.0
2,1,5,3,0.022466455823414503,0.005816909640628433,5.742254640130591E-5,0.3532527682010977,0.005796361246299157,30.0,0.00583745803495771,12.504962981482604,0.29132420091324196,4.452054794520548,15.28213166144201,0.15913978494623648,2.435483870967743,15.304054054054067,0.3713189209217187,5.652081743372491,3.0,233817.0
2,1,5,4,0.022466455823414503,0.005742667134082943,6.367142966200577E-5,0.3967586480940639,0.005719882605597213,30.0,0.005765451662568672,14.048461737571815,0.2858447488584474,4.342465753424657,15.191693290734825,0.15591397849462357,2.3709677419354853,15.206896551724155,0.3642174405780164,5.521110086460987,3.0,233817.0
